          ;        9772;   ;resultado ;20150713024010                          ;13072015      ;144039;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        9772;   ;resultado ;20150713024010                          ;13072015      ;144039;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
681281370 ;        9772;   ;resultado ;datoscom                                ;13072015      ;144039;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;        9772;   ;resultado ;20150713024010                          ;13072015      ;144039;200.10.12.55   ;ERR;                    ;46                                                                      
          ;        9774;   ;Filtro    ;Inicio                                  ;13072015      ;144332;186.67.203.10  ;OK ;                    ;Inicio de filtrado                                                      
          ;        9774;   ;Filtro    ;tbk_param.txt                           ;13072015      ;144332;186.67.203.10  ;OK ;                    ;Archivo parseado                                                        
          ;        9774;   ;Filtro    ;Terminado                               ;13072015      ;144332;186.67.203.10  ;OK ;                    ;Datos Filtrados con exito                                               
681301272 ;        9774;   ;pago      ;inicio                                  ;13072015      ;144332;186.67.203.10  ;OK ;597026007976        ;Parseo realizado                                                        
681301272 ;        9774;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144332;186.67.203.10  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
681301272 ;        9774;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144332;186.67.203.10  ;OK ;597026007976        ;Mac generado                                                            
681301272 ;        9774;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144332;186.67.203.10  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
681301272 ;        9774;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144332;186.67.203.10  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
681301272 ;        9774;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144332;186.67.203.10  ;OK ;597026007976        ;Datos listos para ser enviados                                          
681301272 ;        9774;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144332;186.67.203.10  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
681301272 ;        9774;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144332;186.67.203.10  ;OK ;597026007976        ;Redireccion web                                                         
681301272 ;        9774;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144332;186.67.203.10  ;OK ;597026007976        ;Todo OK                                                                 
          ;        9775;   ;resultado ;Desencriptando                          ;13072015      ;144400;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        9775;   ;resultado ;Validacion                              ;13072015      ;144400;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        9775;   ;resultado ;20150713024331                          ;13072015      ;144400;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        9775;   ;resultado ;20150713024331                          ;13072015      ;144400;200.10.12.55   ;OK ;                    ;http://45.55.88.47/xt_compra.php                                        
681301272 ;        9775;   ;transacc  ;681301272                               ;13072015      ;144400;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
681301272 ;        9775;   ;resultado ;logro abrir_conexion                    ;13072015      ;144400;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
